k1,k2,epsilon,MAE
1e-06,0.003888155180308085,10.0,0.02948605614809512
1e-06,0.0049238826317067365,1.0,0.03136835068011273
1e-06,0.0049238826317067365,2.0,0.02953455436131643
1e-06,0.0049238826317067365,3.0,0.02644176670289148
1e-06,0.0049238826317067365,4.0,0.02578660714115575
1e-06,0.0049238826317067365,5.0,0.025574475504073806
1e-06,0.0049238826317067365,6.0,0.015311114879197651
1e-06,0.0049238826317067365,7.0,0.02914187754268267
1e-06,0.0049238826317067365,8.0,0.029417447632750282
1e-06,0.0049238826317067365,9.0,0.029471531006887243
1e-06,0.0049238826317067365,10.0,0.02948500305909173
1e-06,0.006235507341273912,1.0,0.031383053934163595
1e-06,0.006235507341273912,2.0,0.029762838495992712
1e-06,0.006235507341273912,3.0,0.02655357220230613
1e-06,0.006235507341273912,4.0,0.025837284696030395
1e-06,0.006235507341273912,5.0,0.025607297721214107
1e-06,0.006235507341273912,6.0,0.0160301504557919
1e-06,0.006235507341273912,7.0,0.02899978789199783
1e-06,0.006235507341273912,8.0,0.02939617307164217
1e-06,0.006235507341273912,9.0,0.02946648620902186
1e-06,0.006235507341273912,10.0,0.029483665790923763
1e-06,0.007896522868499725,1.0,0.031394160356127986
1e-06,0.007896522868499725,2.0,0.029996759294113273
1e-06,0.007896522868499725,3.0,0.02666197697317226
1e-06,0.007896522868499725,4.0,0.025892661712899896
1e-06,0.007896522868499725,5.0,0.025640637795709548
1e-06,0.007896522868499725,6.0,0.02550165303381185
1e-06,0.007896522868499725,7.0,0.028761589105716624
1e-06,0.007896522868499725,8.0,0.029367877876008752
1e-06,0.007896522868499725,9.0,0.029460017073336054
1e-06,0.007896522868499725,10.0,0.02948196640474541
1e-06,0.01,1.0,0.03140247541921326
1e-06,0.01,2.0,0.030337932773854038
1e-06,0.01,3.0,0.026777781227230357
1e-06,0.01,4.0,0.0259560132926517
1e-06,0.01,5.0,0.025674946664741904
1e-06,0.01,6.0,0.025529067289908836
1e-06,0.01,7.0,0.028279098620328357
1e-06,0.01,8.0,0.02932965587030121
1e-06,0.01,9.0,0.02945169241589356
1e-06,0.01,10.0,0.029479804815742704
1.2663801734674021e-06,1e-06,1.0,0.030577503593819978
1.2663801734674021e-06,1e-06,2.0,0.030769845756215573
1.2663801734674021e-06,1e-06,3.0,0.03079760219205834
1.2663801734674021e-06,1e-06,4.0,0.030802208860859503
1.2663801734674021e-06,1e-06,5.0,0.030803030551879062
1.2663801734674021e-06,1e-06,6.0,0.030803184641395486
1.2663801734674021e-06,1e-06,7.0,0.030803214748904482
1.2663801734674021e-06,1e-06,8.0,0.03080322084441628
1.2663801734674021e-06,1e-06,9.0,0.03080322211738239
1.2663801734674021e-06,1e-06,10.0,0.030803222390490458
1.2663801734674021e-06,1.2663801734674021e-06,1.0,0.03051160161692874
1.2663801734674021e-06,1.2663801734674021e-06,2.0,0.030760738877909272
1.2663801734674021e-06,1.2663801734674021e-06,3.0,0.030796096860456763
1.2663801734674021e-06,1.2663801734674021e-06,4.0,0.030801938539157542
1.2663801734674021e-06,1.2663801734674021e-06,5.0,0.030802979416579213
1.2663801734674021e-06,1.2663801734674021e-06,6.0,0.030803174564635966
1.2663801734674021e-06,1.2663801734674021e-06,7.0,0.030803212692695602
1.2663801734674021e-06,1.2663801734674021e-06,8.0,0.030803220411953568
1.2663801734674021e-06,1.2663801734674021e-06,9.0,0.03080322202401386
1.2663801734674021e-06,1.2663801734674021e-06,10.0,0.03080322236987284
1.2663801734674021e-06,1.6037187437513308e-06,1.0,0.03042432232084809
1.2663801734674021e-06,1.6037187437513308e-06,2.0,0.030749071704847364
