MAE,ks,xs,kw
0.008477058019712127,1.6258048649414265,-0.7894736842105263,4.06958880964731
0.008477283348642858,0.9307964859438446,-0.5789473684210527,4.06958880964731
0.008477334779040358,11.450285406513153,0.6842105263157894,3.312310615921323
0.00848808070210925,0.9307964859438446,-0.4736842105263158,4.06958880964731
0.0084930055989514,1.6258048649414265,-0.8947368421052632,4.06958880964731
0.008493466165528924,1.2301599307073392,0.05263157894736836,4.06958880964731
0.008495901399838902,2.1486974115205904,-0.1578947368421053,4.06958880964731
0.008499307574733012,0.9307964859438446,-0.368421052631579,4.06958880964731
0.008501068571725454,2.1486974115205904,0.4736842105263157,4.06958880964731
0.008502422674261495,2.8397630403459395,0.1578947368421053,4.06958880964731
0.008506695531255206,1.6258048649414265,-1.0,4.06958880964731
0.008510934561852628,0.9307964859438446,-0.26315789473684215,4.06958880964731
0.008511934683921219,0.7042841151127737,-1.0,4.06958880964731
0.00851285673497967,3.753089700800592,0.894736842105263,2.695948443325881
0.008513570781638159,1.6258048649414265,0.36842105263157876,4.06958880964731
0.008515054534721567,1.2301599307073392,0.1578947368421053,4.06958880964731
0.008517987649519259,0.7042841151127737,-0.8947368421052632,4.06958880964731
0.00851963249371485,2.8397630403459395,0.5789473684210527,4.06958880964731
0.008522953716230616,0.9307964859438446,-0.1578947368421053,4.06958880964731
0.008524238880106436,0.7042841151127737,-0.7894736842105263,4.06958880964731
0.00852960460246924,4.960161148001825,0.6842105263157894,4.06958880964731
0.008530670698038947,0.7042841151127737,-0.6842105263157895,4.06958880964731
