A,B,MAE
0.026560877829466895,9.816326530612246,0.011263535136035152
0.00013219411484660288,5.224489795918368,0.011263891062752265
3.5111917342151275e-06,2.6530612244897958,0.011269022383587419
0.0009326033468832199,7.061224489795919,0.011279294189170308
7.0548023107186455e-06,3.2040816326530615,0.011291789673475749
0.0006135907273413176,6.510204081632653,0.011291864885790565
0.002848035868435802,7.795918367346939,0.011292231408592548
0.008697490026177835,8.89795918367347,0.011294576926884575
1.3219411484660288e-06,1.9183673469387754,0.011296524179364938
0.002848035868435802,7.979591836734694,0.011298582579553764
0.0004641588833612782,6.510204081632653,0.01130435509328592
4.037017258596558e-06,2.2857142857142856,0.011305023771886547
1.4174741629268048e-05,3.7551020408163267,0.011309599269322606
1.873817422860383e-05,3.5714285714285716,0.011311711406395464
0.00023101297000831605,5.959183673469388,0.011320228577795332
2.8480358684358048e-05,4.3061224489795915,0.011321933584064048
2.656087782946684e-06,2.4693877551020407,0.01132545028828772
0.00011497569953977356,5.408163265306123,0.011327915407500602
5.72236765935022e-05,4.857142857142858,0.011328247884900272
0.013219411484660288,9.26530612244898,0.0113349806091737
8.697490026177834e-05,4.857142857142858,0.011335801642295163
0.0014174741629268048,7.428571428571429,0.011336935761865601
1e-06,1.7346938775510203,0.011347534156897616
0.004328761281083062,8.346938775510203,0.01134773124941954
5.336699231206313e-06,3.0204081632653064,0.01135014444063751
2.656087782946684e-06,1.9183673469387754,0.011360701270625198
0.0007054802310718645,6.877551020408164,0.011364927292732491
0.02009233002565046,9.63265306122449,0.011368982209706311
1.072267222010323e-05,3.5714285714285716,0.011370183069275907
1.2328467394420658e-05,3.2040816326530615,0.011373326715921136
2.0092330025650458e-06,2.2857142857142856,0.011377831299317815
0.0004037017258596554,6.142857142857143,0.01138002255953614
0.0003511191734215131,6.326530612244898,0.011383788846300858
2.1544346900318867e-05,4.122448979591837,0.011385131290232265
0.0021544346900318843,7.795918367346939,0.011388925385644458
0.008697490026177835,8.714285714285715,0.011391245799151795
0.006579332246575682,8.714285714285715,0.011391288129622293
0.00017475284000076848,5.775510204081633,0.01139449161525406
4.328761281083062e-05,4.673469387755102,0.011394529626502486
0.030538555088334186,10.0,0.0113959699934793
8.697490026177834e-05,5.224489795918368,0.011397844875912805
4.037017258596558e-06,2.836734693877551,0.011404102555829795
5.72236765935022e-05,4.4897959183673475,0.011404268913015303
1.747528400007683e-06,1.5510204081632653,0.011412896253452594
0.0010722672220103231,7.244897959183674,0.011419814748972284
0.001873817422860385,7.428571428571429,0.011424053633642305
8.111308307896873e-06,3.3877551020408165,0.011425985523552212
1.519911082952933e-06,2.1020408163265305,0.011426541039591709
0.01,9.081632653061225,0.011429190651956554
8.111308307896873e-06,2.836734693877551,0.01143209815353059
0.0032745491628777285,8.16326530612245,0.011435428089847304
0.0005336699231206312,6.6938775510204085,0.011441627620072536
1.6297508346206434e-05,3.938775510204082,0.011443116566289194
3.0538555088334123e-06,2.6530612244897958,0.01145410011816178
3.274549162877732e-05,4.4897959183673475,0.011455083415730812
0.00026560877829466864,6.142857142857143,0.011455331182335854
0.00026560877829466864,5.775510204081633,0.011460456967948817
1.1497569953977357e-06,1.183673469387755,0.011461200860094948
0.01519911082952933,9.448979591836736,0.011461271655390765
6.579332246575683e-05,5.040816326530613,0.011461447218676337
0.00013219411484660288,5.591836734693878,0.011461717686228884
0.001629750834620645,7.612244897959184,0.011469228414088428
3.7649358067924715e-05,4.122448979591837,0.01146960238292478
1.1497569953977357e-06,1.9183673469387754,0.011471929418544576
0.004977023564332114,8.53061224489796,0.011476573587828387
6.1359072734131755e-06,3.2040816326530615,0.01147750617271395
0.02310129700083158,9.816326530612246,0.011487309060257533
5.336699231206313e-06,2.4693877551020407,0.01148738638612889
0.0008111308307896872,7.061224489795919,0.011493968002219867
1.2328467394420658e-05,3.7551020408163267,0.011496439045532164
2.310129700083158e-06,2.4693877551020407,0.011500530099976388
2.477076355991714e-05,4.3061224489795915,0.011510546061045063
0.0004037017258596554,6.510204081632653,0.011510632855873735
0.007564633275546291,8.89795918367347,0.011512439557214723
0.0024770763559917113,7.979591836734694,0.011513383927366973
4.977023564332114e-05,4.857142857142858,0.01151946060421739
0.00020092330025650479,5.959183673469388,0.01152001478802225
0.0001,5.408163265306123,0.01152277496747843
4.641588833612782e-06,3.0204081632653064,0.011525183647523491
2.477076355991714e-05,3.7551020408163267,0.011531576269423399
0.026560877829466895,9.63265306122449,0.011532369552081544
0.00017475284000076848,5.408163265306123,0.01153520085555298
0.0012328467394420659,7.061224489795919,0.011535689722951098
